Index,Review,Result,Aspect,Opinion,FOOD#STYLE&OPTIONS,FOOD#QUALITY,AMBIENCE#GENERAL,RESTAURANT#GENERAL,SERVICE#GENERAL,FOOD#PRICES,RESTAURANT#PRICES,LOCATION#GENERAL,RESTAURANT#MISCELLANEOUS,DRINKS#STYLE&OPTIONS,DRINKS#PRICES,DRINKS#QUALITY
#539,bữa đi người_làm set thịt nướng kimbap ăn_chơi gà sốt thơm_lừng canh đầy_đủ ngon món cơm_chiên bò xào khoái nha sợ,"[['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#QUALITY', 'positive']]","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","['positive', 'positive']",1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#540,bữa bánh_cuốn thiên hương chi_nhánh phan xích long combo tranh_thủ đi ngang ghé liền nóng nè combo gọi combo lợi gọi đầy_đủ món mặn đi đông tụi gọi combo lăn_tăn bánh_cuốn món chủ_đạo quán bánh_cuốn trứng trứng gà pha bột gạo tráng bánh_cuốn thông_thường nha cảm_giác beo_béo món nhân thịt bánh_cuốn nếm vừa_phải củ sắn nấm đông đỡ ngán hẳn đĩa ụ miếng chả dày_cui nhen no xôi_vò món ổn ghê xôi nhân bánh_cuốn chả chiên hợp sợ thử món món quán pha toàn trái_cây uống thanh_mát lắm tích_cực bữa no_nê đứa có_giá ổn món vừa_miệng trơn chỗ thoải_mái rộng_rãi nè,"[['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#QUALITY', 'positive'], ['DRINKS#STYLE&OPTIONS', 'positive'], ['DRINKS#QUALITY', 'positive'], ['RESTAURANT#PRICES', 'positive'], ['AMBIENCE#GENERAL', 'positive'], ['RESTAURANT#GENERAL', 'positive']]","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'DRINKS#STYLE&OPTIONS', 'DRINKS#QUALITY', 'RESTAURANT#PRICES', 'AMBIENCE#GENERAL', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']",1.0,1.0,1.0,1.0,-0.5,-0.5,1.0,-0.5,-0.5,1.0,-0.5,1.0
#541,bữa quán ốc giá giá xào nướng hấp ổn gia_vị ốc tươi bữa ốc_hương giá ốc kinh_khủng ốc len hút ruột ốc mỡ dai mấy quán ốc giá rẻ chất_lượng ổn,"[['FOOD#PRICES', 'positive'], ['FOOD#STYLE&OPTIONS', 'neutral'], ['FOOD#QUALITY', 'negative']]","['FOOD#PRICES', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","['positive', 'neutral', 'negative']",0.5,-1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#542,bữa mệt đi ăn_chay ok nhà_hàng đẹp rộng_rãi to ăn_uống ok dĩa ăn_không tàu hủ hơi rau cải rau ok hài_lòng tầm giá trở giá_cả,"[['AMBIENCE#GENERAL', 'positive'], ['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['RESTAURANT#PRICES', 'negative']]","['AMBIENCE#GENERAL', 'FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'RESTAURANT#PRICES']","['positive', 'positive', 'positive', 'negative']",1.0,1.0,1.0,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5
#543,bữa_qua thử bò bít tết pate bò bít tết trứng nhận_xét miếng bò mỏng bình_thường đặc_sắc miếng trắng trắng miếng đỏ_chót cháy xém vẻ ảnh_hưởng chất_lượng món bò mấy chi_nhánh chỗ đông_tầng tầng tầng chế_biến bánh_mì ngon_ăn kèm bò cà_chua dưa_leo miếng xà_lách ly dễ_thương,"[['FOOD#STYLE&OPTIONS', 'negative'], ['FOOD#QUALITY', 'neutral'], ['RESTAURANT#GENERAL', 'positive'], ['DRINKS#STYLE&OPTIONS', 'positive']]","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'RESTAURANT#GENERAL', 'DRINKS#STYLE&OPTIONS']","['negative', 'neutral', 'positive', 'positive']",-1.0,0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5
#544,bụi bụi cơm xốp khô thơm sườn miếng to hơi khô ướp ngon độ mặn trứng chiên lòng_đào bùn bì tạm hơi khô da heo dai giòn nước_chấm tuyệt_cua mèo khắm quá_độ mặn gia bình_thường tầm giá đứa quán sạch nvien phục_vụ ok,"[['RESTAURANT#GENERAL', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#QUALITY', 'neutral'], ['FOOD#PRICES', 'neutral'], ['AMBIENCE#GENERAL', 'positive'], ['SERVICE#GENERAL', 'positive']]","['RESTAURANT#GENERAL', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES', 'AMBIENCE#GENERAL', 'SERVICE#GENERAL']","['positive', 'positive', 'neutral', 'neutral', 'positive', 'positive']",1.0,0.5,1.0,1.0,1.0,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#545,bun ăn_ở hài_lòng món ngon mì dòn hải_sản nui xào bò hai đứa gọi món chén món gắp món quán nằm công_viên lê_thị quán bảng giá món tầm giágiá đa_dạng ok lắm mì xào dòn sợi mì chiên dòn nè đồ xào ok mực tôm cá_viên nước_xốt xào sệt sệt nêm vừa_ăn giá nui xào bò ngon hơi dầu_mỡ tý bun đi thương_hiệu tâm ký ăn_ở góc tây_thạnh cổng khu cn tân_bình chạy tây_thạnh nằm bun mì xào dòn hương_vị mấy hông xào_nấu mặt quán buôn_bán lơn mặt_bằng rộng gấp mấy quán cmt mì xào dòn hương_vị đậm_đà sáng_sủa sạch_sẽ ngon hủ_tiếu xào sợi hủ_tiếu xào hơi mềm đồ xào dặn gan thịt bun mì xào dòn cơm gà mua bữa mua hộp cơm gà xối_mỡ ăn_không ngon lắm nha gà chiên vàng giòn cơm chiên vàng ươm nấu gà nêm nếm mỡ_gà ngon quán tâm ký đồ ok gọi món thử bun cơm gà mì xào dòn mì xào dòn bun mấy chỗ ngon mấy sợ nè gò_vấp quán mì xào dòn đại_học công_nghiệp phú_nhuận quán hẻ phan_tây hồ khéo lắm mì xào dòn dĩa giá bun giới_thiệu khen mai mốt bun viết chi_tiết chỗ,"[['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['RESTAURANT#PRICES', 'positive'], ['FOOD#PRICES', 'positive'], ['RESTAURANT#GENERAL', 'positive']]","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'RESTAURANT#PRICES', 'FOOD#PRICES', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'positive', 'positive']",1.0,1.0,-0.5,1.0,-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5
#546,bún_bò đầy_đủ đậm_đà lắm hơi lạt bánh_bèo nghêu hấp_ăn ngon nghêu thịt không_gian quán rộng_rãi thoáng mát phục_vụ ok giá_cả hơi mắc tí trung_bình giágiá,"[['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#QUALITY', 'neutral'], ['AMBIENCE#GENERAL', 'positive'], ['SERVICE#GENERAL', 'positive'], ['RESTAURANT#PRICES', 'negative']]","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'AMBIENCE#GENERAL', 'SERVICE#GENERAL', 'RESTAURANT#PRICES']","['positive', 'neutral', 'positive', 'positive', 'negative']",1.0,0.5,1.0,-0.5,1.0,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5
#547,bún_bò huế nấu ngon cưc kì quán chỗ xe tô giá nghiện ăn_tiền,"[['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#QUALITY', 'positive'], ['AMBIENCE#GENERAL', 'neutral'], ['FOOD#PRICES', 'positive'], ['RESTAURANT#GENERAL', 'positive']]","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'AMBIENCE#GENERAL', 'FOOD#PRICES', 'RESTAURANT#GENERAL']","['positive', 'positive', 'neutral', 'positive', 'positive']",1.0,1.0,0.5,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#548,bún_bò huế chả cua quán sợi nam_quốc cang q món mẹ tâm mẹ nbi đứng nấu bò mềm chả cua ngon giá quán món ngon lắm đi up hình tích_cực tag tag tag tag tag tag tag tag tag tag tag tag tag tag tag tag tag,"[['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#QUALITY', 'positive'], ['FOOD#PRICES', 'neutral'], ['RESTAURANT#GENERAL', 'positive']]","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES', 'RESTAURANT#GENERAL']","['positive', 'positive', 'neutral', 'positive']",1.0,1.0,-0.5,1.0,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#549,bún_bò huế rủ đi mới_đầu quán bình_thường sạch_sẽ quán hơi cũ e_ngại chủ quán bưng tô bún_bò vẻ gon thử chê giá rẻ chủ tiếng huế dễ_thương lắm vote quán d,"[['AMBIENCE#GENERAL', 'neutral'], ['FOOD#QUALITY', 'positive'], ['FOOD#PRICES', 'positive'], ['SERVICE#GENERAL', 'positive'], ['RESTAURANT#GENERAL', 'positive']]","['AMBIENCE#GENERAL', 'FOOD#QUALITY', 'FOOD#PRICES', 'SERVICE#GENERAL', 'RESTAURANT#GENERAL']","['neutral', 'positive', 'positive', 'positive', 'positive']",-0.5,1.0,0.5,1.0,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#550,bún_bò huế điệu bát bún cực_kỳ đầy_đặn nước_dùng đậm_đà dậy_mùi mắm_cái mắm có_lẽ lắm miếng thịt thái to dày giò bát nêm nếm gia_vị ổn vừa_miệng,"[['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#QUALITY', 'positive']]","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","['positive', 'positive']",1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#551,bún_bò huế bàn cải nước_lèo thịt nhueuf rau nhiêu tiền giá tô bún,"[['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#PRICES', 'neutral']]","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","['positive', 'positive', 'neutral']",1.0,1.0,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#552,bún_bò ngon giá_cả hợp_lý,"[['FOOD#QUALITY', 'positive'], ['FOOD#PRICES', 'positive']]","['FOOD#QUALITY', 'FOOD#PRICES']","['positive', 'positive']",-0.5,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#553,bún_bò ngon bún hơi tinh_bột chả quán ngon,"[['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive']]","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","['positive', 'positive']",1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#554,bùn bò nhân trí tô đầy_đủ nạm giò chả cua giò sướng thiệt cục giò dai đô mỡ tô to chất_lượng ná thở quán sach xe miễn_phí,"[['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#QUALITY', 'positive'], ['AMBIENCE#GENERAL', 'positive'], ['RESTAURANT#MISCELLANEOUS', 'positive']]","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'AMBIENCE#GENERAL', 'RESTAURANT#MISCELLANEOUS']","['positive', 'positive', 'positive', 'positive']",1.0,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5
#555,bún_bò nước_lèo cực_kì đậm_đà thịt tái thịt nạm miếng to ngon lắm lắm nước_lèo thơm_phức húp sạch tô thèm miếng huyết to chỗ bún_bò huyết lắm chả ngon món món hài_lòng p tầm trưa đông ng_ta tan ca hơi dơ dọn kịp,"[['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['RESTAURANT#GENERAL', 'positive'], ['SERVICE#GENERAL', 'neutral']]","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'RESTAURANT#GENERAL', 'SERVICE#GENERAL']","['positive', 'positive', 'positive', 'neutral']",1.0,1.0,-0.5,1.0,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#556,bún_bò ngon đậm_đà khai_trương đông nhân_viên phục_vụ nhiệt_tình gía mắc thử nha,"[['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['SERVICE#GENERAL', 'positive'], ['RESTAURANT#PRICES', 'neutral'], ['RESTAURANT#GENERAL', 'positive']]","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'SERVICE#GENERAL', 'RESTAURANT#PRICES', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'neutral', 'positive']",1.0,1.0,-0.5,1.0,1.0,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#557,bún_bò ngon lắm tô siêu chất_lượng huyết quán huyết lắm thịt bò tái_chả cua hơi bự chả ú nú nước_lèo chê tầm giá nha thủy_tiên_dương,"[['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#PRICES', 'neutral']]","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","['positive', 'positive', 'neutral']",1.0,1.0,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#558,bún_bò ngon giá_cả không_gian sạch thoáng mát phục_vụ hơi chậm chút bún hơi con_gái mua tô no mong quán điều_chỉnh bún chút tag,"[['FOOD#QUALITY', 'positive'], ['FOOD#PRICES', 'positive'], ['AMBIENCE#GENERAL', 'positive'], ['SERVICE#GENERAL', 'neutral'], ['FOOD#STYLE&OPTIONS', 'negative']]","['FOOD#QUALITY', 'FOOD#PRICES', 'AMBIENCE#GENERAL', 'SERVICE#GENERAL', 'FOOD#STYLE&OPTIONS']","['positive', 'positive', 'positive', 'neutral', 'negative']",-1.0,1.0,1.0,-0.5,0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#559,bún_bò xưa mở_cửa cứu_cánh đêm đói_lòng cam_tâm mì gói bún_bò giá giá tô_bự nhứt ful thịt chả giá mặt_bằng nằm kế rạp hát_nam quang nổi_tiếng rẻ cạn_lời menu toàn sữa đậu_nành nha_đam mát sương sâm hột é cảm_giác bún_bò hàng_xóm nhà_hàng máy_lạnh,"[['RESTAURANT#MISCELLANEOUS', 'positive'], ['FOOD#PRICES', 'positive'], ['DRINKS#STYLE&OPTIONS', 'positive'], ['RESTAURANT#GENERAL', 'positive']]","['RESTAURANT#MISCELLANEOUS', 'FOOD#PRICES', 'DRINKS#STYLE&OPTIONS', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'positive']",-0.5,-0.5,-0.5,1.0,-0.5,1.0,-0.5,-0.5,1.0,1.0,-0.5,-0.5
#560,bún cá ngon rẻ giá giò bò chả cá ưng nhg_vậy bún thịt mọc chân_giò lắm ruột,"[['FOOD#QUALITY', 'positive'], ['FOOD#PRICES', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['RESTAURANT#GENERAL', 'positive']]","['FOOD#QUALITY', 'FOOD#PRICES', 'FOOD#STYLE&OPTIONS', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'positive']",1.0,1.0,-0.5,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#561,bún cá ngon nêm nếm đậm_đà nước_dùng vị cá rán giòn mặt_bằng rộng_rãi sạch_sẽ nhân_viên phục_vụ nhanh_nhẹn trung_bình đi chi giá credit nguyễn_tiến,"[['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['AMBIENCE#GENERAL', 'positive'], ['SERVICE#GENERAL', 'positive'], ['FOOD#PRICES', 'neutral']]","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'AMBIENCE#GENERAL', 'SERVICE#GENERAL', 'FOOD#PRICES']","['positive', 'positive', 'positive', 'positive', 'neutral']",1.0,1.0,1.0,-0.5,1.0,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#562,bún cá_rô giá bát cá rán giòn mỡ quán măng ngâm cực ngon,"[['FOOD#PRICES', 'neutral'], ['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#QUALITY', 'positive']]","['FOOD#PRICES', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","['neutral', 'positive', 'positive']",1.0,1.0,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#563,bún cá_rô bánh_đa cá_rô bún riêu quán ngon món bún cá_rô nước_lèo mùi cá miếng cá cắt thơm biệt xương địa_điểm ghé,"[['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['RESTAURANT#GENERAL', 'positive']]","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive']",1.0,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#564,bún_chả chan max ngon đậm_đà thích_hợp bữa trưa vui vẻthịt chả mềm sợi bún to miệng giá sinh_viên,"[['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#PRICES', 'positive']]","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","['positive', 'positive', 'positive']",1.0,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#565,bún_chả thơm ngon,"[['FOOD#QUALITY', 'positive']]",['FOOD#QUALITY'],['positive'],-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#566,bún đậu a chảnh nổi_tiếng chi_nhánh chỗ thập_cẩm phèo cộng chủ mấy phục_vụ dễ_thương kêu món đợi nguội chủ kêu hâm nóng ngon trừ quán hơi,"[['RESTAURANT#GENERAL', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['LOCATION#GENERAL', 'positive'], ['SERVICE#GENERAL', 'positive'], ['AMBIENCE#GENERAL', 'negative']]","['RESTAURANT#GENERAL', 'FOOD#STYLE&OPTIONS', 'LOCATION#GENERAL', 'SERVICE#GENERAL', 'AMBIENCE#GENERAL']","['positive', 'positive', 'positive', 'positive', 'negative']",1.0,-0.5,-1.0,1.0,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5
#567,bún đậu thịt chả cốm đậu giágiá n sạch_sẽ,"[['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#PRICES', 'positive'], ['AMBIENCE#GENERAL', 'positive']]","['FOOD#STYLE&OPTIONS', 'FOOD#PRICES', 'AMBIENCE#GENERAL']","['positive', 'positive', 'positive']",1.0,-0.5,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#568,bún đậu cầu gỗ menu suất ăn_theo đầu giá phong_cách quán bún đậu chợ thành_công hà nội nhân_viên tận_tình mắm_tôm kèm hướng_dẫn chén mắm muỗng đường trái tắc công_thức vàng khoa_học chứng_minh thành_phần bún lá đậu rán chả cốm thịt lợn đậu bún gọi_là đắt rẻ quán liều bún đậu hot ly trà tắc giá hơi chát,"[['LOCATION#GENERAL', 'neutral'], ['FOOD#PRICES', 'neutral'], ['SERVICE#GENERAL', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['DRINKS#PRICES', 'negative']]","['LOCATION#GENERAL', 'FOOD#PRICES', 'SERVICE#GENERAL', 'FOOD#STYLE&OPTIONS', 'DRINKS#PRICES']","['neutral', 'neutral', 'positive', 'positive', 'negative']",1.0,-0.5,-0.5,-0.5,1.0,0.5,-0.5,0.5,-0.5,-0.5,-1.0,-0.5
#569,bún đậu mai mo bef steak trần_quốc toản ngon bổ rẻ mẹt phè_phỡn muộn hết_lòng nha suất giágiá phục_vụ tận_tình chu_đáo lun,"[['LOCATION#GENERAL', 'neutral'], ['FOOD#QUALITY', 'positive'], ['FOOD#PRICES', 'positive'], ['SERVICE#GENERAL', 'positive']]","['LOCATION#GENERAL', 'FOOD#QUALITY', 'FOOD#PRICES', 'SERVICE#GENERAL']","['neutral', 'positive', 'positive', 'positive']",-0.5,1.0,-0.5,-0.5,1.0,1.0,-0.5,0.5,-0.5,-0.5,-0.5,-0.5
#570,bún đậu lạ giá ng lẻ,"[['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#PRICES', 'positive']]","['FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","['positive', 'positive']",1.0,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#571,bún đậu đầy_đủ nem chả cốm thịt luộc giá giá suất trà đá phục_vụ,"[['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#PRICES', 'positive'], ['DRINKS#STYLE&OPTIONS', 'positive']]","['FOOD#STYLE&OPTIONS', 'FOOD#PRICES', 'DRINKS#STYLE&OPTIONS']","['positive', 'positive', 'positive']",1.0,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5
#572,bún đậu mắm_tôm bình_dân bốn combo đầy_đủ giá hình comba bún đậu chả cốm giá giá cực_kỳ sinh_viên phục_vụ hiền xinh cực tag,"[['LOCATION#GENERAL', 'neutral'], ['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#PRICES', 'positive'], ['SERVICE#GENERAL', 'positive']]","['LOCATION#GENERAL', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES', 'SERVICE#GENERAL']","['neutral', 'positive', 'positive', 'positive']",1.0,-0.5,-0.5,-0.5,1.0,1.0,-0.5,0.5,-0.5,-0.5,-0.5,-0.5
#573,bún đậu mắm_tôm món có_mặt sg đi tích_cực ha cảm_giác ngon tuyệt_vời đợi đồ công_việc pha mắm_tôm k mắm_tôm ngon đậm chất bắc tắc ớt quậy bún hình thập_cẩm giá giá giá_cả tạm ổn nhân_viên phục_vụ chủ quán dễ_thương tổng thiệt_hại bữa bún đậu mắm_tôm đứa giá giật_mình hôm bao_gồm bún trà đá hình_như ròi tích_cực tiên bún đậu mắm_tôm tuyệt_vời,"[['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['RESTAURANT#PRICES', 'neutral'], ['SERVICE#GENERAL', 'positive'], ['RESTAURANT#GENERAL', 'positive']]","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'RESTAURANT#PRICES', 'SERVICE#GENERAL', 'RESTAURANT#GENERAL']","['positive', 'positive', 'neutral', 'positive', 'positive']",1.0,1.0,-0.5,1.0,1.0,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#574,bún đậu la ngon quán đông đợi hơi lâu_tag,"[['FOOD#QUALITY', 'positive'], ['RESTAURANT#GENERAL', 'positive'], ['SERVICE#GENERAL', 'negative']]","['FOOD#QUALITY', 'RESTAURANT#GENERAL', 'SERVICE#GENERAL']","['positive', 'positive', 'negative']",-0.5,1.0,-0.5,1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#575,bún đậu ngon quán n đậu mềm thơm mắm_tôm chuẩn bắc chả cốm giòn dẻo thơm_lừng nem_chua rán ngon kém bún đậu kèm dĩa rán tuyệt món ốc bưu nhồi ngon được_lòng ng bánh_gối ngán bánh_gối xong bún nổi lun,"[['RESTAURANT#GENERAL', 'positive'], ['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive']]","['RESTAURANT#GENERAL', 'FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","['positive', 'positive', 'positive']",1.0,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#576,bún đậu quan phong_phú lạ_lạ gọi_là đậu chiên giòn đậu xốp đặc ruột_thịt luộc mỡ lắm thịt ba_rọi chả cốm ngon mấy chỗ xíu hình cục tròn dầu chát miệng cục trắng trắng chả_giò quán gọi quên rôi ngon siêu giòn cảm_giác chả_giò mắm_tôm ngon mùi hơi nồng mặm nêm nhìu lắm cừa quán giá cung_ok giá,"[['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#QUALITY', 'neutral'], ['RESTAURANT#PRICES', 'positive']]","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'RESTAURANT#PRICES']","['positive', 'neutral', 'positive']",1.0,0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5
#577,bún đậu hấp_dẫn bún cắt đẹp_mắt nắm chặt vó mùi hôi bún thịt mỡ cắt mỏng k chả cốm giòn lắm hơi dầu_mỡ xíu đậu hủ chiên giòn ngon thơm rau tươi mắm_tôm hơi lỏng hơi sệt xíu tạm ổn giá_cả phải_chăng_nữa hai tầm trà đá_k,"[['FOOD#STYLE&OPTIONS', 'neutral'], ['FOOD#QUALITY', 'neutral'], ['RESTAURANT#GENERAL', 'positive'], ['RESTAURANT#PRICES', 'positive']]","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'RESTAURANT#GENERAL', 'RESTAURANT#PRICES']","['neutral', 'neutral', 'positive', 'positive']",0.5,0.5,-0.5,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5
#578,bún gạo sò điệp náy to thiệt to bào_ngư ngon giá hơi mắc nhưg đồ chất_lượng yên_tâm thử ghé,"[['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#QUALITY', 'positive'], ['FOOD#PRICES', 'negative'], ['RESTAURANT#GENERAL', 'positive']]","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES', 'RESTAURANT#GENERAL']","['positive', 'positive', 'negative', 'positive']",1.0,1.0,-0.5,1.0,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#579,bún mắm miền tây xưa bún mắm miền tui nè d trích chủ quán hài_hước tính_tình chủ quán d,"[['RESTAURANT#GENERAL', 'positive'], ['SERVICE#GENERAL', 'positive']]","['RESTAURANT#GENERAL', 'SERVICE#GENERAL']","['positive', 'positive']",-0.5,-0.5,-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#580,bún mắm_nêm thập_cẩm giá chạy xe sâu hẻm quán gốc thường_xuyên,"[['FOOD#PRICES', 'neutral'], ['LOCATION#GENERAL', 'negative'], ['RESTAURANT#GENERAL', 'positive']]","['FOOD#PRICES', 'LOCATION#GENERAL', 'RESTAURANT#GENERAL']","['neutral', 'negative', 'positive']",-0.5,-0.5,-0.5,1.0,-0.5,0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5
