Index,Review,Result,Aspect,Opinion,HOTEL#DESIGN&FEATURES,HOTEL#GENERAL,LOCATION#GENERAL,SERVICE#GENERAL,HOTEL#COMFORT,HOTEL#CLEANLINESS,FACILITIES#GENERAL,ROOMS#CLEANLINESS,ROOM_AMENITIES#COMFORT,ROOMS#COMFORT,FACILITIES#PRICES,ROOM_AMENITIES#GENERAL,DRINKS#STYLE&OPTIONS,ROOMS#PRICES,ROOMS#DESIGN&FEATURES,ROOMS#GENERAL,HOTEL#QUALITY,ROOMS#QUALITY,DRINKS#QUALITY,HOTEL#PRICES,FACILITIES#DESIGN&FEATURES,FACILITIES#QUALITY,ROOM_AMENITIES#QUALITY,ROOM_AMENITIES#CLEANLINESS,ROOM_AMENITIES#DESIGN&FEATURES,HOTEL#MISCELLANEOUS,DRINKS#PRICES,FACILITIES#COMFORT,DRINKS#MISCELLANEOUS,FACILITIES#CLEANLINESS,FACILITIES#MISCELLANEOUS,ROOMS#MISCELLANEOUS,ROOM_AMENITIES#MISCELLANEOUS
#253,ban_đầu gia_đình dự_định đà_nẵng đêm đêm ngủ hội an khách_sạn gren field đồng xanh lựa_chọn thái_độ phục_vụ nhân_viên khách_sạn thân_thiện nhiệt_tình khách_sạn trang_thiết_bị công_trình_phụ cũ sửa_chữa cải_tạo hy_vọng mùa hè khách_sạn tiện_nghi du_khách hài_lòng,"[['SERVICE#GENERAL', 'positive'], ['HOTEL#DESIGN&FEATURES', 'negative'], ['FACILITIES#DESIGN&FEATURES', 'negative'], ['HOTEL#MISCELLANEOUS', 'positive']]","['SERVICE#GENERAL', 'HOTEL#DESIGN&FEATURES', 'FACILITIES#DESIGN&FEATURES', 'HOTEL#MISCELLANEOUS']","['positive', 'negative', 'negative', 'positive']",-1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#254,tuyệt_vời khách_sạn gren field đi du_lịch khách_sạn đội_ngũ nhân_viên thân_thiện chuyên_nghiệp khách_sạn lưu_trú khách_sạn nâng_cấp trang_thiết_bị trông mới_mẻ nhân_viên dễ_thương nhiệt_tình phòng_ốc bố_trí hợp_lý thông_thoáng khách_sạn hồ bơi thích_hợp thư_giãn đi tham_quan mua_sắm phố cổ hội an khách_sạn mùa hè,"[['HOTEL#COMFORT', 'positive'], ['SERVICE#GENERAL', 'positive'], ['HOTEL#DESIGN&FEATURES', 'positive'], ['ROOMS#DESIGN&FEATURES', 'positive'], ['FACILITIES#GENERAL', 'positive'], ['HOTEL#GENERAL', 'positive']]","['HOTEL#COMFORT', 'SERVICE#GENERAL', 'HOTEL#DESIGN&FEATURES', 'ROOMS#DESIGN&FEATURES', 'FACILITIES#GENERAL', 'HOTEL#GENERAL']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']",1.0,1.0,-0.5,1.0,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#255,hơi thất_vọng khách_sạn grenfield may_mắn lưu giá khách_sạn tương_xứng dịch_vụ nhân_viên hơi thân_thiện phòng khách_sạn bình_thường thiết_bị vệ_sinh ổn lắm tiện đi_lại khu_phố cổ biển đi dược thuê xe_đạp taxi,"[['HOTEL#COMFORT', 'negative'], ['HOTEL#PRICES', 'negative'], ['SERVICE#GENERAL', 'negative'], ['ROOMS#GENERAL', 'neutral'], ['ROOM_AMENITIES#GENERAL', 'negative'], ['LOCATION#GENERAL', 'negative']]","['HOTEL#COMFORT', 'HOTEL#PRICES', 'SERVICE#GENERAL', 'ROOMS#GENERAL', 'ROOM_AMENITIES#GENERAL', 'LOCATION#GENERAL']","['negative', 'negative', 'negative', 'neutral', 'negative', 'negative']",-0.5,-0.5,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#256,phòng khách_sạn hôm_nay đi nà hội an khách_sạn gren field kỷ_niệm phai thoải_mái hội an đẹp ban_đêm mùa hội an nóng khách_sạn hồ bơi biển hội an đẹp,"[['HOTEL#COMFORT', 'positive'], ['FACILITIES#GENERAL', 'positive']]","['HOTEL#COMFORT', 'FACILITIES#GENERAL']","['positive', 'positive']",-0.5,-0.5,-0.5,-0.5,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#257,vợ_chồng dịp du_lịch hội an nghỉ khách_sạn gren field khách_sạn đội_ngũ lễ_tân chuyên_nghiệp nhiệt_tình khách_sạn thuận_tiện phố cổ bãi biển cửa đại trang_thiết_bị phòng bình_thường hơi cũ khách_sạn trang_bị ấm đun siêu_tốc phục_vụ sôi nhanh_chóng,"[['SERVICE#GENERAL', 'positive'], ['LOCATION#GENERAL', 'positive'], ['ROOM_AMENITIES#GENERAL', 'neutral'], ['ROOM_AMENITIES#DESIGN&FEATURES', 'negative']]","['SERVICE#GENERAL', 'LOCATION#GENERAL', 'ROOM_AMENITIES#GENERAL', 'ROOM_AMENITIES#DESIGN&FEATURES']","['positive', 'positive', 'neutral', 'negative']",-0.5,-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#258,khách_sạn mùi ẩm_mốc hồ bơi bẩn phòng deluxe trái_cây tiếp_đón bồn_tắm vết nứt an nghèo_nàn đi khách_sạn phố cổ biển đi taxi khách_sạn sản_phẩm a nhà_hàng,"[['HOTEL#CLEANLINESS', 'negative'], ['FACILITIES#CLEANLINESS', 'negative'], ['ROOMS#DESIGN&FEATURES', 'negative'], ['SERVICE#GENERAL', 'negative'], ['ROOM_AMENITIES#QUALITY', 'negative'], ['DRINKS#STYLE&OPTIONS', 'negative'], ['LOCATION#GENERAL', 'negative']]","['HOTEL#CLEANLINESS', 'FACILITIES#CLEANLINESS', 'ROOMS#DESIGN&FEATURES', 'SERVICE#GENERAL', 'ROOM_AMENITIES#QUALITY', 'DRINKS#STYLE&OPTIONS', 'LOCATION#GENERAL']","['negative', 'negative', 'negative', 'negative', 'negative', 'negative', 'negative']",-0.5,-0.5,-1.0,-1.0,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5
#259,thoải_mái ấn_tượng kỳ nghỉ ngủ khách_sạn gren field hài_lòng bok phòng chất_lượng giá tiền,"[['HOTEL#COMFORT', 'positive'], ['ROOMS#QUALITY', 'positive'], ['ROOMS#PRICES', 'positive']]","['HOTEL#COMFORT', 'ROOMS#QUALITY', 'ROOMS#PRICES']","['positive', 'positive', 'positive']",-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#260,gia_đình nghỉ khách_sạn remi khách_sạn giá_cả hợp_lý biển hàng thuận_tiện gia_đình nghỉ khách_sạn,"[['HOTEL#PRICES', 'positive'], ['LOCATION#GENERAL', 'positive'], ['HOTEL#GENERAL', 'positive']]","['HOTEL#PRICES', 'LOCATION#GENERAL', 'HOTEL#GENERAL']","['positive', 'positive', 'positive']",-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#261,phòng ngủ tương_đối sạch_hơi bãi_tắm chút đi phút đường biệt_thự quán siêu_thị mini khách_sạn bậc thang đi có_nhân_viên xách hộ vali cám_ơn chudu hướng_dẫn phòng nghỉ tương_đối,"[['ROOMS#CLEANLINESS', 'positive'], ['LOCATION#GENERAL', 'neutral'], ['HOTEL#DESIGN&FEATURES', 'negative'], ['SERVICE#GENERAL', 'negative'], ['ROOMS#GENERAL', 'positive']]","['ROOMS#CLEANLINESS', 'LOCATION#GENERAL', 'HOTEL#DESIGN&FEATURES', 'SERVICE#GENERAL', 'ROOMS#GENERAL']","['positive', 'neutral', 'negative', 'negative', 'positive']",-1.0,-0.5,0.5,-1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#262,tiêu_chuẩn chuẩn cách_âm hành_lang ồn_ào ảnh_hưởng nệm lò_xo cũ nằm cong lưng đau nhức ngủ ngon,"[['HOTEL#GENERAL', 'positive'], ['ROOMS#DESIGN&FEATURES', 'negative'], ['ROOMS#COMFORT', 'negative'], ['ROOM_AMENITIES#DESIGN&FEATURES', 'negative'], ['ROOM_AMENITIES#COMFORT', 'negative']]","['HOTEL#GENERAL', 'ROOMS#DESIGN&FEATURES', 'ROOMS#COMFORT', 'ROOM_AMENITIES#DESIGN&FEATURES', 'ROOM_AMENITIES#COMFORT']","['positive', 'negative', 'negative', 'negative', 'negative']",-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#263,nằm ngõ_hẻm giá khách_sạn lịch_sự tiếp_đãi phòng_ốc sạch phòng tắm sạch lầu tín_hiệu wi fi hài_lòng giới_thiệu trở_lại dịp,"[['LOCATION#GENERAL', 'negative'], ['HOTEL#PRICES', 'positive'], ['SERVICE#GENERAL', 'positive'], ['ROOMS#CLEANLINESS', 'positive'], ['FACILITIES#QUALITY', 'positive'], ['HOTEL#COMFORT', 'positive'], ['HOTEL#GENERAL', 'positive']]","['LOCATION#GENERAL', 'HOTEL#PRICES', 'SERVICE#GENERAL', 'ROOMS#CLEANLINESS', 'FACILITIES#QUALITY', 'HOTEL#COMFORT', 'HOTEL#GENERAL']","['negative', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']",-0.5,1.0,-1.0,1.0,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#264,view biển đi tý tiếp_tân phục_vụ nhiệt_tình phòng sạch_sẽ rộng_rãi ban_công máy_lạnh công_suất phòng chấp_nhận diện_tích hơi sạch_sẽ phòng cách_âm nằm chuông đt kia,"[['LOCATION#GENERAL', 'positive'], ['SERVICE#GENERAL', 'positive'], ['ROOMS#CLEANLINESS', 'positive'], ['ROOMS#DESIGN&FEATURES', 'neutral'], ['ROOM_AMENITIES#DESIGN&FEATURES', 'negative'], ['ROOMS#GENERAL', 'positive']]","['LOCATION#GENERAL', 'SERVICE#GENERAL', 'ROOMS#CLEANLINESS', 'ROOMS#DESIGN&FEATURES', 'ROOM_AMENITIES#DESIGN&FEATURES', 'ROOMS#GENERAL']","['positive', 'positive', 'positive', 'neutral', 'negative', 'positive']",-0.5,-0.5,1.0,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#265,tổng_quan khách_sạn dịch_vụ máy_lạnh phòng lạnh đề_nghị bảo_trì tiếp chào thân_ái,"[['HOTEL#GENERAL', 'positive'], ['ROOM_AMENITIES#QUALITY', 'negative']]","['HOTEL#GENERAL', 'ROOM_AMENITIES#QUALITY']","['positive', 'negative']",-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#266,hài_lòng chất_lượng khách_sạn phòng_ốc đẹp vệ_sinh kém thái_độ nhân_viên nhiệt_tình thân_thiện,"[['HOTEL#COMFORT', 'negative'], ['ROOMS#DESIGN&FEATURES', 'negative'], ['HOTEL#CLEANLINESS', 'negative'], ['SERVICE#GENERAL', 'negative']]","['HOTEL#COMFORT', 'ROOMS#DESIGN&FEATURES', 'HOTEL#CLEANLINESS', 'SERVICE#GENERAL']","['negative', 'negative', 'negative', 'negative']",-0.5,-0.5,-0.5,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#267,khách_sạn trung_tâm thuận_tiện đi_lại tham_quan ăn_uống nhân_viên nhiệt_tình giá_cả ngọai_trừ tủ_lạnh hoạt_động chuyến du_lịch gia_đình cám_ơn my tour chúc my tour thành_công,"[['LOCATION#GENERAL', 'positive'], ['SERVICE#GENERAL', 'positive'], ['HOTEL#PRICES', 'positive'], ['ROOM_AMENITIES#QUALITY', 'negative']]","['LOCATION#GENERAL', 'SERVICE#GENERAL', 'HOTEL#PRICES', 'ROOM_AMENITIES#QUALITY']","['positive', 'positive', 'positive', 'negative']",-0.5,-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#268,khách_sạn đẹp tiện_nghi đầy_đủ nội_thất trang_thiết_bị hơi cũ khách_sạn thuận_tiện đi_lại vui_chơi nhân_viên nhiệt_tình thân_thiện góp_ý khách_sạn trang_bị uống sôi phòng,"[['HOTEL#DESIGN&FEATURES', 'positive'], ['FACILITIES#GENERAL', 'positive'], ['ROOM_AMENITIES#DESIGN&FEATURES', 'negative'], ['LOCATION#GENERAL', 'positive'], ['SERVICE#GENERAL', 'positive']]","['HOTEL#DESIGN&FEATURES', 'FACILITIES#GENERAL', 'ROOM_AMENITIES#DESIGN&FEATURES', 'LOCATION#GENERAL', 'SERVICE#GENERAL']","['positive', 'positive', 'negative', 'positive', 'positive']",1.0,-0.5,1.0,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#269,khách_sạn đẹp trung_tâm thuận_tiện đi_lại du_lịch khách_sạn đẹp chuẩn phòng nghỉ gia_đình tầng view thoáng hài_lòng dịch_vụ bok phòng mytour phàn_nàn,"[['LOCATION#GENERAL', 'positive'], ['HOTEL#DESIGN&FEATURES', 'positive'], ['HOTEL#QUALITY', 'positive'], ['ROOMS#GENERAL', 'positive'], ['HOTEL#COMFORT', 'positive']]","['LOCATION#GENERAL', 'HOTEL#DESIGN&FEATURES', 'HOTEL#QUALITY', 'ROOMS#GENERAL', 'HOTEL#COMFORT']","['positive', 'positive', 'positive', 'positive', 'positive']",1.0,-0.5,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#270,nhận_xét ks nằm vi tri trung_tâm đi_lại mua_sắm ngân_hàng biển sạch_sẽ giá_cả nhân_viên tiếp_tân tận_tình thân_mật khách_sạn gia_đình hài_lòng gởi mytour giới_thiệu khách_sạn lựa_chọn mytour giới_thiệu dịp đi du_lịch chúc vui khỏe phạm vũ_hoàng,"[['LOCATION#GENERAL', 'positive'], ['HOTEL#CLEANLINESS', 'positive'], ['HOTEL#PRICES', 'positive'], ['SERVICE#GENERAL', 'positive'], ['HOTEL#GENERAL', 'positive'], ['HOTEL#COMFORT', 'positive']]","['LOCATION#GENERAL', 'HOTEL#CLEANLINESS', 'HOTEL#PRICES', 'SERVICE#GENERAL', 'HOTEL#GENERAL', 'HOTEL#COMFORT']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']",-0.5,1.0,1.0,1.0,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#271,khách_sạn phòng đẹp nhân_viên thân_thiện đẹp nha trang nghỉ khách_sạn,"[['HOTEL#COMFORT', 'positive'], ['ROOMS#DESIGN&FEATURES', 'positive'], ['SERVICE#GENERAL', 'positive'], ['LOCATION#GENERAL', 'positive'], ['HOTEL#GENERAL', 'positive']]","['HOTEL#COMFORT', 'ROOMS#DESIGN&FEATURES', 'SERVICE#GENERAL', 'LOCATION#GENERAL', 'HOTEL#GENERAL']","['positive', 'positive', 'positive', 'positive', 'positive']",-0.5,1.0,1.0,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#272,giá_cả địa_điểm kiểm_tra mạng internet chậm chăn hơi mỏng lạnh phòng tắm thoải_mái,"[['HOTEL#PRICES', 'positive'], ['LOCATION#GENERAL', 'positive'], ['SERVICE#GENERAL', 'positive'], ['FACILITIES#QUALITY', 'negative'], ['ROOM_AMENITIES#DESIGN&FEATURES', 'negative'], ['ROOM_AMENITIES#COMFORT', 'negative']]","['HOTEL#PRICES', 'LOCATION#GENERAL', 'SERVICE#GENERAL', 'FACILITIES#QUALITY', 'ROOM_AMENITIES#DESIGN&FEATURES', 'ROOM_AMENITIES#COMFORT']","['positive', 'positive', 'positive', 'negative', 'negative', 'negative']",-0.5,-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-1.0,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#273,giá tiền ks phòng nghỉ sạch_sẽ tiện_nghi rộng nhân_viên thân_thiện nhiệt_tình ks đi biển phút đi hài_lòng kỳ nghỉ,"[['HOTEL#PRICES', 'positive'], ['ROOMS#CLEANLINESS', 'positive'], ['ROOM_AMENITIES#GENERAL', 'positive'], ['ROOMS#DESIGN&FEATURES', 'neutral'], ['SERVICE#GENERAL', 'positive'], ['LOCATION#GENERAL', 'positive'], ['HOTEL#COMFORT', 'positive']]","['HOTEL#PRICES', 'ROOMS#CLEANLINESS', 'ROOM_AMENITIES#GENERAL', 'ROOMS#DESIGN&FEATURES', 'SERVICE#GENERAL', 'LOCATION#GENERAL', 'HOTEL#COMFORT']","['positive', 'positive', 'positive', 'neutral', 'positive', 'positive', 'positive']",-0.5,-0.5,1.0,1.0,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#274,thiết_kế sna màu trắng xanh dịu mát nha trang mùa hè nắng thiêu_đốt phòng ks lạc khu vườn mát_mẻ thoải_mái thư_giãn vô_cùng thếm cộng giá rẻ,"[['HOTEL#DESIGN&FEATURES', 'positive'], ['ROOMS#DESIGN&FEATURES', 'positive'], ['ROOMS#COMFORT', 'positive'], ['HOTEL#PRICES', 'positive']]","['HOTEL#DESIGN&FEATURES', 'ROOMS#DESIGN&FEATURES', 'ROOMS#COMFORT', 'HOTEL#PRICES']","['positive', 'positive', 'positive', 'positive']",1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#275,khách_sạn remi phòng sạch_sẽ nhân_viên khách_sạn nhiệt_tình thân_thiện hài_lòng nghỉ dịp trở_lại remi nghỉ_ngơi vợ_chồng,"[['HOTEL#GENERAL', 'positive'], ['ROOMS#CLEANLINESS', 'positive'], ['SERVICE#GENERAL', 'positive'], ['HOTEL#COMFORT', 'positive']]","['HOTEL#GENERAL', 'ROOMS#CLEANLINESS', 'SERVICE#GENERAL', 'HOTEL#COMFORT']","['positive', 'positive', 'positive', 'positive']",-0.5,1.0,-0.5,1.0,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#276,thử thỏa_mãn xứng_đáng tiền dịp,"[['HOTEL#GENERAL', 'positive'], ['HOTEL#PRICES', 'positive']]","['HOTEL#GENERAL', 'HOTEL#PRICES']","['positive', 'positive']",-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#277,ks khu yên_tĩnh sạch_sẽ nhân_viên thân_thiện tiếc gia_đình đi ks ok,"[['LOCATION#GENERAL', 'positive'], ['HOTEL#CLEANLINESS', 'positive'], ['SERVICE#GENERAL', 'positive'], ['DRINKS#STYLE&OPTIONS', 'negative'], ['HOTEL#GENERAL', 'positive']]","['LOCATION#GENERAL', 'HOTEL#CLEANLINESS', 'SERVICE#GENERAL', 'DRINKS#STYLE&OPTIONS', 'HOTEL#GENERAL']","['positive', 'positive', 'positive', 'negative', 'positive']",-0.5,1.0,1.0,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#278,khách_sạn đêm nghỉ nha trang đi bãi biển có_lẽ khách_sạn đường xây_dựng một_chút khó_chịu khách_sạn phút đi bãi biển nhà_hàng quán bar đường,"[['HOTEL#GENERAL', 'positive'], ['HOTEL#MISCELLANEOUS', 'negative'], ['LOCATION#GENERAL', 'positive']]","['HOTEL#GENERAL', 'HOTEL#MISCELLANEOUS', 'LOCATION#GENERAL']","['positive', 'negative', 'positive']",-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#279,khách_sạn nằm khu du_lịch cửa_hàng nhân_viên thân_thiện check in min nhắn_tin ar phòng đồ uống món nhẹ giá_cả tương_ứng cửa_hàng wifi internet tuyệt_vời máy_tính phòng chờ thang_máy đi tầng bữa phục_vụ cửa_hàng mua tủ_lạnh bữa,"[['LOCATION#GENERAL', 'positive'], ['SERVICE#GENERAL', 'positive'], ['ROOM_AMENITIES#DESIGN&FEATURES', 'positive'], ['DRINKS#STYLE&OPTIONS', 'positive'], ['DRINKS#PRICES', ' positive'], ['FACILITIES#QUALITY', 'positive'], ['FACILITIES#DESIGN&FEATURES', 'positive']]","['LOCATION#GENERAL', 'SERVICE#GENERAL', 'ROOM_AMENITIES#DESIGN&FEATURES', 'DRINKS#STYLE&OPTIONS', 'DRINKS#PRICES', 'FACILITIES#QUALITY', 'FACILITIES#DESIGN&FEATURES']","['positive', 'positive', 'positive', 'positive', ' positive', 'positive', 'positive']",-0.5,-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,1.0,-0.5,-0.5,1.0,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#280,khách_sạn tầm giá_cả nha trang_phục_vụ thân_thiện,"[['HOTEL#COMFORT', 'positive'], ['HOTEL#GENERAL', 'positive'], ['HOTEL#PRICES', 'positive'], ['SERVICE#GENERAL', 'positive']]","['HOTEL#COMFORT', 'HOTEL#GENERAL', 'HOTEL#PRICES', 'SERVICE#GENERAL']","['positive', 'positive', 'positive', 'positive']",-0.5,1.0,-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#281,quan_ly nhiet tinhphong cung okho boi hoi nho nh gan bien cung nguoi tre sinh tre nguoi lon hoat dong sinh hoat vui ve_de ch yêu,"[['SERVICE#GENERAL', 'positive'], ['ROOMS#GENERAL', 'positive'], ['FACILITIES#DESIGN&FEATURES', 'neutral'], ['HOTEL#COMFORT', 'positive']]","['SERVICE#GENERAL', 'ROOMS#GENERAL', 'FACILITIES#DESIGN&FEATURES', 'HOTEL#COMFORT']","['positive', 'positive', 'neutral', 'positive']",-0.5,-0.5,-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
